"Termos","Freq","Código"
"agre",1,123
"agreement",9,124
"agri",1,125
"agribusi",4,126
"agricultur",45,127
"agricultura",1,128
"agro",2,129
"agroc",1,130
"agrochem",4,131
"agronom",2,132
"agronomi",1,133
"aguiar",1,134
"ahead",1,135
"ahmad",2,136
"aic",20,137
"aicc",2,138
"aid",10,139
"ailton",1,140
"aim",120,141
"air",8,142
"airborn",1,143
"airpasseng",1,144
"airport",1,145
"akaik",19,146
"aladova",1,147
"alagoa",3,148
"alassan",1,149
"albopictu",1,150
"alcohol",3,151
"aldou",1,152
"alegr",1,153
"alencar",1,154
"aleth",1,155
"alex",1,156
"alexandr",3,157
"alexei",1,158
"alfalfa",1,159
"algebra",56,160
"algo",1,161
"algorithm",124,162
"algorithrn",1,163
"alic",3,164
"alik",1,165
"aliz",2,166
"alkalin",1,167
"allel",1,168
"allevi",1,169
"alli",1,170
"alloc",11,171
"allow",86,172
"almeida",1,173
"almond",1,174
"almost",12,175
"alon",1,176
"along",5,177
"alpha",3,178
"alphabet",2,179
"alreadi",19,180
"also",151,181
"alsohighlighti",1,182
"alt",2,183
"altemir",1,184
"alter",7,185
"altern",71,186
"although",17,187
"alto",3,188
"altruism",1,189
"altruist",1,190
"altun",1,191
"alv",3,192
"alwai",7,193
"alzheim",2,194
"am",1,195
"amaranthu",2,196
"amazon",8,197
"amazona",20,198
"ambul",1,199
"amen",1,200
"america",3,201
"american",7,202
"amino",2,203
"aminoacid",1,204
"aml",1,205
"ammi",17,206
"ammonia",3,207
"among",107,208
"amongoth",1,209
"amount",14,210
"amountsgr",1,211
"ampl",1,212
"amplif",3,213
"amplitud",1,214
"amylos",1,215
"ana",11,216
"anajuliacamaragmailcom",1,217
"anal",1,218
"anali",2,219
"analog",2,220
"analogi",1,221
"analogu",1,222
"analys",28,223
"analysi",405,224
"analysisheld",1,225
"analyt",19,226
"analyz",195,227
"anatom",4,228
"anc",1,229
"ancestor",1,230
"ancestr",1,231
"ancestri",2,232
"anchor",1,233
"andaraí",2,234
"anderson",1,235
"andrad",1,236
"andré",1,237
"andrea",4,238
"andréa",1,239
"anemia",1,240
"anexcerpt",1,241
"angl",1,242
"anim",35,243
"anisotropi",2,244
"ann",3,245
"annot",1,246
"announc",1,247
"annual",15,248
"annuum",4,249
"anomal",3,250
"anomali",4,251
"anonym",1,252
"anosmia",1,253
"anoth",20,254
"anotherr",1,255
"anova",10,256
"answ",1,257
"answer",16,258
"antagon",1,259
"anteced",1,260
"anthracnos",3,261
"anthrop",2,262
"anti",1,263
"antibodi",2,264
"anticip",1,265
"anticoagul",1,266
"antiflex",1,267
"antinutrit",1,268
"antiphospholipid",3,269
"antiretrovir",2,270
"antônio",4,271
"anxieti",6,272
"anxietydepress",2,273
"anxiou",1,274
"apa",3,275
"aparecida",2,276
"apart",1,277
"apophi",1,278
"app",3,279
"appar",4,280
"appeal",1,281
"appear",9,282
"appli",152,283
"applic",167,284
"applica",1,285
"appoint",8,286
"apprais",2,287
"appro",1,288
"approach",172,289
"approch",1,290
"appropri",25,291
"approv",1,292
"approxim",27,293
"approximat",1,294
"april",1,295
"aproach",1,296
"apsarticl",1,297
"apt",5,298
"arabica",3,299
"aragão",1,300
"ararip",1,301
"araripina",2,302
"araújo",2,303
"arbitrari",1,304
"arboviru",1,305
"arcanjo",1,306
"arcgi",1,307
"architectur",2,308
"arctang",1,309
"ard",2,310
"area",124,311
"área",2,312
"areal",5,313
"arfima",2,314
"arfimap",1,315
"argu",2,316
"argument",5,317
"ari",1,318
"aria",1,319
"arid",2,320
"arima",6,321
"arimax",1,322
"aris",12,323
"arisen",1,324
"arithm",1,325
"arkadi",2,326
"arl",5,327
"arm",2,328
"arma",29,329
"armavar",1,330
"armd",1,331
"aroma",1,332
"arouca",1,333
"around",9,334
"arous",1,335
"arp",1,336
"arrai",3,337
"arrang",4,338
"arriv",7,339
"art",8,340
"arthriti",1,341
"articl",35,342
"articul",1,343
"artifici",16,344
"artisan",8,345
"artist",1,346
"arugula",1,347
"arv",1,348
"ascend",1,349
"asia",1,350
"asian",1,351
"ask",2,352
"aspect",27,353
"assai",1,354
"assassin",4,355
"assembl",2,356
"assert",5,357
"assertivi",1,358
"asses",1,359
"assess",67,360
"assesss",1,361
"asset",20,362
"assi",1,363
"assidu",1,364
"assign",6,365
"assimil",1,366
"assist",24,367
"asso",1,368
"associ",134,369
"associa",1,370
"assum",56,371
"assumpt",35,372
"assur",1,373
"assymptot",1,374
"asteroid",1,375
"asthma",1,376
"asym",1,377
"asymmetr",21,378
"asymmetri",10,379
"asymptot",30,380
"atest",1,381
"ati",1,382
"ation",1,383
"atkin",2,384
"atl",1,385
"atlant",2,386
"atmospher",2,387
"atom",1,388
"atp",3,389
"atput",1,390
"atr",1,391
"atribut",2,392
"attach",12,393
"attack",6,394
"attain",4,395
"attempt",7,396
"atten",1,397
"attend",3,398
"attent",23,399
"attenu",1,400
"attest",1,401
"attract",4,402
"attractor",7,403
"attribut",20,404
"atyp",5,405
"auc",2,406
"audienc",1,407
"auditori",3,408
"augment",6,409
"august",5,410
"augusto",2,411
"aus",1,412
"auster",2,413
"author",30,414
"authorjéssica",1,415
"autk",1,416
"auto",1,417
"autocorrel",7,418
"autocorrelationmoran",1,419
"autoencod",2,420
"autoimmun",1,421
"autom",1,422
"automat",5,423
"automorph",13,424
"autor",1,425
"autoregress",30,426
"autorregress",1,427
"auxiliari",9,428
"avaiabl",1,429
"avail",35,430
"avalanch",11,431
"averag",62,432
"avoid",11,433
"awai",3,434
"await",1,435
"awaken",1,436
"azevedo",4,437
"bab",2,438
"babi",8,439
"bachelor",2,440
"back",2,441
"backdrop",1,442
"background",3,443
"bacteria",1,444
"bad",2,445
"badli",1,446
"bag",8,447
"bahia",2,448
"bai",5,449
"bailei",2,450
"bairro",1,451
"bak",14,452
"balakrishnan",1,453
"balanc",10,454
"balf",2,455
"ball",3,456
"bamlss",1,457
"banal",1,458
"banana",1,459
"bancário",1,460
"bandeira",1,461
"bandwidth",3,462
"bank",3,463
"bar",8,464
"barbara",2,465
"barberá",2,466
"barbosa",9,467
"barndorff",4,468
"barri",3,469
"barrier",4,470
"barro",2,471
"bartlett",3,472
"base",276,473
"basedon",2,474
"baselin",4,475
"basi",13,476
"basic",24,477
"basin",4,478
"bassett",1,479
"basto",1,480
"bat",1,481
"batch",33,482
"bate",1,483
"bathroom",1,484
"batista",1,485
"batteri",1,486
"bay",16,487
"bayesian",132,488
"bch",4,489
"bcl",1,490
"bdmep",1,491
"beachfront",1,492
"beam",11,493
"bean",8,494
"bear",1,495
"beatriz",1,496
"becam",3,497
"becom",38,498
"bed",4,499
"beef",1,500
"beforehand",1,501
"began",3,502
"begin",12,503
"beginn",1,504
"behav",2,505
"behavior",76,506
"behaviour",7,507
"behind",2,508
"behren",2,509
"bele´m",1,510
"belford",2,511
"believ",4,512
"bell",7,513
"bello",1,514
"belo",5,515
"belong",15,516
"belt",1,517
"benchmark",7,518
"benefici",2,519
"benefit",10,520
"benitaka",1,521
"bento",1,522
"ber",2,523
"berg",3,524
"bernoulli",13,525
"berri",1,526
"bertalanffi",10,527
"bertallanfi",1,528
"bertho",3,529
"besid",14,530
"bessa",2,531
"bessel",2,532
"best",55,533
"beta",35,534
"better",87,535
"beyond",2,536
"bfg",2,537
"bfhi",2,538
"bghufv",1,539
"bia",26,540
"biallel",3,541
"bianca",1,542
"biannual",1,543
"biannualbasi",1,544
"bias",5,545
"bibliograph",4,546
"bibliographi",2,547
"bic",10,548
"bidirect",1,549
"bifurc",7,550
"big",8,551
"biggest",5,552
"biject",1,553
"bilal",2,554
"bilater",2,555
"biliti",1,556
"biliz",1,557
"bill",11,558
"billion",1,559
"bimod",11,560
"bin",1,561
"binari",18,562
"bine",1,563
"bing",1,564
"bino",1,565
"binomi",36,566
"bio",1,567
"biodivers",1,568
"biofuel",4,569
"biolog",15,570
"biologi",8,571
"biom",16,572
"biomark",1,573
"biomass",2,574
"biomed",4,575
"biometr",3,576
"biometri",1,577
"biostatist",2,578
"biotechnologi",1,579
"biplot",2,580
"birem",1,581
"birepresent",2,582
"birnbaum",27,583
"birth",17,584
"bisca",1,585
"bisci",1,586
"bismark",1,587
"bite",1,588
"bitter",1,589
"bivari",13,590
"black",20,591
"blackwellis",1,592
"blasso",3,593
"blast",10,594
"ble",3,595
"blem",2,596
"blend",8,597
"blind",2,598
"blish",1,599
"block",29,600
"blood",2,601
"blstm",2,602
"blue",1,603
"blup",12,604
"blupf",1,605
"bma",4,606
"bmi",4,607
"boa",1,608
"board",1,609
"bob",2,610
"bodi",9,611
"bodili",1,612
"bodlaend",1,613
"bogoni",1,614
"bom",1,615
"bond",15,616
"bone",1,617
"boneneoplasm",1,618
"bonferroni",1,619
"bonito",1,620
"book",2,621
"boolean",5,622
"boom",1,623
"boost",8,624
"bootstrap",28,625
"border",2,626
"borel",1,627
"borg",1,628
"born",5,629
"boron",1,630
"botafogo",1,631
"bottleneck",1,632
"bottom",1,633
"bought",1,634
"bound",24,635
"boundari",19,636
"boundedbinari",1,637
"bourbon",1,638
"bourguignon",2,639
"bove",1,640
"bovin",3,641
"box",3,642
"bpmf",1,643
"bra´ulio",1,644
"brachiaria",2,645
"braga",1,646
"bragatto",1,647
"brahman",1,648
"brain",8,649
"branch",13,650
"brand",3,651
"brandão",1,652
"brasil",2,653
"brasileiro",1,654
"brasilia",1,655
"brazil",118,656
"brazilian",80,657
"breach",1,658
"break",3,659
"breakdown",1,660
"breast",1,661
"breastfe",1,662
"breastfeed",17,663
"breed",21,664
"bref",1,665
"brémaud",1,666
"breusch",1,667
"brezi",2,668
"brief",4,669
"bring",13,670
"brito",1,671
"brizantha",2,672
"broad",6,673
"broadcast",1,674
"broader",1,675
"broadli",1,676
"brodi",5,677
"broken",1,678
"bronchiol",1,679
"bronchoalveolar",1,680
"brought",4,681
"brown",4,682
"brownian",1,683
"brr",5,684
"brumadinho",1,685
"bruno",1,686
"bscarr",1,687
"bta",1,688
"bubbl",1,689
"budget",1,690
"budgetari",1,691
"buffalo",2,692
"buffel",3,693
"buffer",1,694
"build",14,695
"built",13,696
"buishand",1,697
"bulk",1,698
"burdensom",1,699
"burn",1,700
"burr",5,701
"busi",6,702
"bution",3,703
"bypass",1,704
"c^r",2,705
"c¯",1,706
"c¯u",1,707
"caatinga",1,708
"cabbag",1,709
"cabral",3,710
"cabrera",4,711
"cacao",2,712
"caetano",1,713
"cafeteria",1,714
"cage",2,715
"cai",2,716
"cajazeira",1,717
"cal",3,718
"calcium",2,719
"calcul",51,720
"calculad",1,721
"calculu",2,722
"calderón",1,723
"calf",2,724
"calibr",7,725
"call",51,726
"calv",4,727
"camara*",1,728
"camargo",1,729
"came",5,730
"camila",6,731
"campaign",1,732
"campana",8,733
"campeonato",1,734
"campina",3,735
"campo",2,736
"can",213,737
"canal",1,738
"cancelo",1,739
"cancer",22,740
"câncer",1,741
"candi",1,742
"candid",12,743
"cândido",1,744
"cane",6,745
"canebrak",1,746
"canephora",2,747
"canin",1,748
"canker",1,749
"canni",1,750
"canon",5,751
"ção",2,752
"capabl",17,753
"capac",15,754
"capit",10,755
"capita",5,756
"capivara",1,757
"capsicum",3,758
"captiv",1,759
"captur",18,760
"car",2,761
"carabica",1,762
"caravan",1,763
"carbohydr",4,764
"carbon",7,765
"carcinogen",1,766
"card",6,767
"cardiomyopathi",1,768
"cardiovascular",4,769
"cardoso",1,770
"care",66,771
"caregiv",8,772
"careless",1,773
"carica",2,774
"carina",1,775
"carioca",2,776
"carla",2,777
"carlo",89,778
"carmo",2,779
"carneiro",3,780
"carolina",7,781
"carr",2,782
"carri",92,783
"carryov",9,784
"cart",3,785
"carter",2,786
"cartesian",1,787
"cartograph",9,788
"carvalho",9,789
"cascavel",1,790
"case",169,791
"casein",2,792
"caso",1,793
"cassava",5,794
"cassif",1,795
"cast",3,796
"castro",2,797
"cat",2,798
"cata",4,799
"catalysi",1,800
"catarina",1,801
"catch",2,802
"categor",11,803
"categori",24,804
"cathet",1,805
"catino",1,806
"cation",5,807
"cattl",15,808
"cattlesoi",2,809
"caus",58,810
"causal",6,811
"causeeffect",1,812
"caviti",2,813
"caxia",2,814
"cber",1,815
"ccc",8,816
"ccz",1,817
"cdcc",1,818
"cdf",1,819
"cé",1,820
"ceará",3,821
"ceca",1,822
"cecon",1,823
"cecotrophagi",1,824
"cegonha",1,825
"celeri",1,826
"celia",3,827
"cell",17,828
"cellulos",1,829
"celso",3,830
"censor",36,831
"censorship",7,832
"censu",15,833
"census",4,834
"center",7,835
"central",16,836
"centro",1,837
"centroid",5,838
"centuri",4,839
"ceo",1,840
"cepea",2,841
"cepstral",2,842
"cereal",2,843
"cern",1,844
"cerrado",7,845
"certain",27,846
"certif",4,847
"cervic",3,848
"cesar",1,849
"cesarean",1,850
"céu",1,851
"cfa",2,852
"cfi",1,853
"cha",1,854
"chaga",1,855
"chain",21,856
"chal",1,857
"challeng",21,858
"chamber",1,859
"chanc",19,860
"chang",97,861
"chanism",1,862
"channel",7,863
"chaotic",4,864
"chapter",16,865
"charac",2,866
"charact",1,867
"character",39,868
"characteris",1,869
"characterist",70,870
"charcoal",2,871
"charg",1,872
"chart",21,873
"charter",1,874
"chauvenet",1,875
"chave",2,876
"cheaper",1,877
"cheat",1,878
"cheater",2,879
"check",8,880
"chemic",9,881
"chen",2,882
"chern",1,883
"chi",8,884
"chical",2,885
"chicken",12,886
"chicori",1,887
"chikungunya",10,888
"chikv",1,889
"chilcott",1,890
"child",7,891
"childbirth",2,892
"childcar",1,893
"childhood",6,894
"children",16,895
"chile",1,896
"china",2,897
"chip",2,898
"chisquar",1,899
"chlorid",1,900
"chocol",1,901
"choi",2,902
"choic",12,903
"chooler",1,904
"choos",12,905
"choquard",2,906
"chose",2,907
"chosen",11,908
"chou",1,909
"christoffoleti",1,910
"chromat",1,911
"chronic",9,912
"cialli",1,913
"ciation",1,914
"cidad",1,915
"cie^ncia",2,916
"ciência",37,917
"cient",1,918
"cintra",1,919
"cipal",1,920
"cir",1,921
"circul",4,922
"circular",2,923
"circumscript",2,924
"circumst",2,925
"circumstanti",1,926
"circumv",2,927
"cisp",1,928
"cite",4,929
"citi",52,930
"citizen",2,931
"citru",4,932
"civilian",1,933
"cla",2,934
"clai",2,935
"claim",3,936
"clara",3,937
"claran",1,938
"clarifi",2,939
"class",86,940
"classi",1,941
"classic",19,942
"classif",64,943
"classifi",50,944
"classifica",1,945
"classroom",2,946
"claud",1,947
"clayei",1,948
"cleans",1,949
"clear",6,950
"clearli",1,951
"clifford",1,952
"climat",9,953
"climatolog",6,954
"climb",5,955
"climer",1,956
"clini",1,957
"clinic",21,958
"clínica",1,959
"clinician",1,960
"clone",12,961
"close",29,962
"closer",2,963
"closest",2,964
"closur",3,965
"club",1,966
"clude",1,967
"clue",1,968
"clusion",1,969
"cluster",96,970
"cnae",4,971
"cne",1,972
"coal",1,973
"coast",1,974
"cobo",2,975
"cochran",1,976
"cock",1,977
"cocoa",3,978
"codazzi",2,979
"code",21,980
"codeword",1,981
"codimens",1,982
"codon",1,983
"coeffici",58,984
"coelho",1,985
"coexist",1,986
"coexpress",1,987
"coff",1,988
"coffe",49,989
"coffea",5,990
"coffeesoi",1,991
"cognit",2,992
"cohe",1,993
"cohen",3,994
"cohenet",1,995
"coher",2,996
"cohes",1,997
"cohort",5,998
"coincid",1,999
"cold",1,1000
"collabor",4,1001
"collaps",2,1002
"colleagu",2,1003
"collect",32,1004
"colleg",1,1005
"colletotrichum",2,1006
"collett",1,1007
"colombian",1,1008
"coloni",3,1009
"color",26,1010
"colorado",1,1011
"colorrac",2,1012
"column",6,1013
"com",14,1014
"combat",3,1015
"combi",1,1016
"combin",46,1017
"combinator",1,1018
"combinatori",6,1019
"come",3,1020
"comedian",4,1021
"comfort",1,1022
"comment",1,1023
"commerc",1,1024
"commerci",10,1025
"commiss",2,1026
"commit",2,1027
"committe",1,1028
"commod",23,1029
"commodif",2,1030
"common",31,1031
"commonli",14,1032
"commun",20,1033
"communic",2,1034
"communist",1,1035
"commut",3,1036
"como",3,1037
"comorbid",10,1038
"compact",6,1039
"compani",12,1040
"companion",3,1041
"compar",175,1042
"comparison",42,1043
"comparisson",1,1044
"compart",3,1045
"compartment",2,1046
"compat",1,1047
"compens",2,1048
"compet",13,1049
"competit",16,1050
"competitor",1,1051
"complaint",3,1052
"complement",5,1053
"complementar",1,1054
"complementari",8,1055
"complet",42,1056
"completli",1,1057
"complex",60,1058
"complianc",2,1059
"complic",9,1060
"compo",1,1061
"compon",61,1062
"component",1,1063
"compos",22,1064
"composit",13,1065
"comprehens",4,1066
"compress",1,1067
"compris",3,1068
"compromis",7,1069
"compu",1,1070
"comput",73,1071
"computa",2,1072
"computação",20,1073
"computation",8,1074
"comvest",2,1075
"con",6,1076
"concav",2,1077
"conceiv",1,1078
"concentr",27,1079
"concept",30,1080
"conceptu",3,1081
"concern",16,1082
"conclud",36,1083
"conclus",17,1084
"concord",2,1085
"concret",4,1086
"concurr",1,1087
"condemn",1,1088
"condi",1,1089
"condit",123,1090
"condition",3,1091
"condori",1,1092
"conduct",34,1093
"cone",3,1094
"conect",1,1095
"confer",1,1096
"confid",21,1097
"confidencecred",1,1098
"confidenci",1,1099
"confidenti",3,1100
"configur",10,1101
"confin",1,1102
"confirm",20,1103
"confirmatori",2,1104
"conflict",20,1105
"confluenc",1,1106
"conform",9,1107
"confound",6,1108
"confront",1,1109
"conilon",2,1110
"conjectur",5,1111
"conjug",3,1112
"conjunct",2,1113
"connect",15,1114
"conov",1,1115
"cons",1,1116
"consecut",2,1117
"consensu",3,1118
"consent",1,1119
"consequ",28,1120
"conserv",1,1121
"consi",1,1122
"consid",221,1123
"consider",17,1124
"consist",50,1125
"consolid",5,1126
"consortium",1,1127
"constant",14,1128
"constitut",13,1129
"constitution",1,1130
"constrain",1,1131
"constraint",1,1132
"construct",47,1133
"consult",5,1134
"consum",23,1135
"consump",1,1136
"consumpt",25,1137
"conta",1,1138
"contact",5,1139
"contagiuo",1,1140
"contain",21,1141
"contamin",5,1142
"contempl",1,1143
"contemporari",2,1144
"content",8,1145
"context",75,1146
"contextu",2,1147
"conti",1,1148
"contin",1,1149
"continent",1,1150
"conting",2,1151
"continu",54,1152
"contínua",1,1153
"continuar",2,1154
"continuo",1,1155
"contract",7,1156
"contradict",1,1157
"contradictori",1,1158
"contrari",1,1159
"contrast",8,1160
"contribut",56,1161
"control",71,1162
"controversi",1,1163
"convect",1,1164
"conveni",1,1165
"convent",9,1166
"converg",25,1167
"convex",5,1168
"convict",2,1169
"convivi",1,1170
"convolut",5,1171
"cook",3,1172
"cooper",1,1173
"coor",1,1174
"coordin",13,1175
"cop",1,1176
"copacabana",1,1177
"cope",2,1178
"copier",1,1179
"copper",1,1180
"copt",3,1181
"copula",12,1182
"cor",2,1183
"corallinu",3,1184
"cord",3,1185
"core",3,1186
"cori",1,1187
"corn",10,1188
"corollari",1,1189
"coronaviru",6,1190
"corpor",1,1191
"corr",2,1192
"corre^",1,1193
"correct",27,1194
"correctli",5,1195
"córrego",1,1196
"correl",104,1197
"correla",2,1198
"correspond",22,1199
"corrobor",9,1200
"corrupt",2,1201
"coscrato",1,1202
"cosmologi",1,1203
"cost",29,1204
"costa",5,1205
"costli",1,1206
"cotton",2,1207
"cotzumalguapa",1,1208
"cough",4,1209
"coun",1,1210
"count",34,1211
"counter",1,1212
"counterfactu",3,1213
"counterpart",1,1214
"counti",1,1215
"countri",30,1216
"countrysid",1,1217
"coupl",6,1218
"cours",11,1219
"cov",10,1220
"covari",51,1221
"cove",1,1222
"cover",16,1223
"coverag",14,1224
"coveri",1,1225
"covid",123,1226
"cow",2,1227
"cox",10,1228
"cp",4,1229
"cpk",2,1230
"cpo",1,1231
"cpp",6,1232
"cqdg",1,1233
"crack",1,1234
"crandal",1,1235
"creat",20,1236
"creation",4,1237
"creativ",2,1238
"credibl",2,1239
"credit",8,1240
"crespa",1,1241
"crete",1,1242
"cri",6,1243
"cribari",4,1244
"cribe",1,1245
"crime",11,1246
"crimin",2,1247
"crise",5,1248
"crisi",16,1249
"cristiano",1,1250
"cristina",3,1251
"cristo",1,1252
"criteria",32,1253
"criterion",41,1254
"critic",24,1255
"critiqu",1,1256
"crlmm",3,1257
"crop",20,1258
"cropland",1,1259
"cross",52,1260
"crossov",4,1261
"crp",2,1262
"crucial",6,1263
"crude",4,1264
"cruz",5,1265
"cryptocurr",4,1266
"csc",4,1267
"cube",1,1268
"cubic",3,1269
"cuidando",2,1270
"cuidar",1,1271
"culm",1,1272
"culmin",2,1273
"cultiv",8,1274
"cultivar",8,1275
"cultur",22,1276
"cumul",7,1277
"cunha",1,1278
"cunicultur",1,1279
"cup",1,1280
"cur",1,1281
"curb",1,1282
"cure",7,1283
"current",25,1284
"curriculum",1,1285
"curs",3,1286
"curv",39,1287
"curvatur",7,1288
"curvelo",1,1289
"custer",1,1290
"custom",7,1291
"cusum",1,1292
"cut",12,1293
"cutan",4,1294
"cuticl",1,1295
"cutoff",2,1296
"cvar",3,1297
"cvl",1,1298
"cxup-",1,1299
"cybi",1,1300
"cycl",18,1301
"cyclic",1,1302
"cytopatholog",1,1303
"cytosin",1,1304
"dµ",3,1305
"dabout",2,1306
"dac",1,1307
"dade",3,1308
"dag",1,1309
"dagum",2,1310
"dai",57,1311
"daibou",1,1312
"daili",15,1313
"dairi",3,1314
"dall",1,1315
"dam",10,1316
"damag",17,1317
"damagedeath",1,1318
"damp",1,1319
"danc",1,1320
"danger",1,1321
"daniel",1,1322
"danielli",2,1323
"danilo",2,1324
"danta",1,1325
"dap",2,1326
"darken",3,1327
"darwin",1,1328
"dasymetr",2,1329
"data",734,1330
"databas",34,1331
"datamachin",1,1332
"dataset",35,1333
"datasu",3,1334
"date",3,1335
"dawn",3,1336
"dbc",2,1337
"dcc",2,1338
"dcca",2,1339
"dcdata",1,1340
"ddm",3,1341
"deal",36,1342
"dean",2,1343
"death",58,1344
"debat",5,1345
"debora",1,1346
"dec",1,1347
"decad",9,1348
"decai",4,1349
"deceas",2,1350
"decemb",12,1351
"decid",5,1352
"decis",59,1353
"declar",2,1354
"declin",3,1355
"decoloni",3,1356
"decompos",3,1357
"decomposit",11,1358
"decorrel",2,1359
"decoupl",1,1360
"decre",2,1361
"decreas",14,1362
"decrement",1,1363
"dectect",1,1364
"deep",5,1365
"deepen",1,1366
"deeper",2,1367
"deepest",1,1368
"default",1,1369
"defend",1,1370
"defens",2,1371
"deficit",3,1372
"defin",51,1373
"defini",1,1374
"definit",12,1375
"deflexu",1,1376
"degener",4,1377
"degrad",2,1378
"degre",45,1379
"dei",1,1380
"del",3,1381
"delai",3,1382
"delaport",1,1383
"dele",1,1384
"delet",1,1385
"delic",1,1386
"delimit",5,1387
"delin",2,1388
"deliv",2,1389
"deliveri",10,1390
"delta",3,1391
"demand",18,1392
"demarc",1,1393
"dementia",3,1394
"democrat",1,1395
"demograph",19,1396
"demographi",1,1397
"demonstr",31,1398
"dempster",1,1399
"denc",1,1400
"dengu",12,1401
"deni",1,1402
"denois",2,1403
"denomin",2,1404
"denot",8,1405
"dens",1,1406
"densiti",43,1407
"densityrr",1,1408
"dental",3,1409
"dentist",3,1410
"dentli",1,1411
"depart",16,1412
"departamento",2,1413
"depend",65,1414
"dependet",1,1415
"depress",6,1416
"depressionanxieti",1,1417
"depriv",1,1418
"deputi",5,1419
"der",2,1420
"dere",1,1421
"deriv",29,1422
"descent",3,1423
"descri",1,1424
"describ",52,1425
"descript",45,1426
"descriptor",1,1427
"desegreg",1,1428
"deserv",1,1429
"design",72,1430
"desir",4,1431
"desiré",1,1432
"despacho",1,1433
"despit",18,1434
"destin",4,1435
"destini",1,1436
"detail",6,1437
"detec",1,1438
"detecct",1,1439
"detect",72,1440
"detector",2,1441
"deter",1,1442
"deterior",1,1443
"determi",1,1444
"determin",53,1445
"determinist",2,1446
"deterritori",3,1447
"detrend",8,1448
"detriment",1,1449
"devast",2,1450
"deve",1,1451
"develop",147,1452
"devianc",6,1453
"deviat",24,1454
"devic",4,1455
"devis",1,1456
"dfa",1,1457
"dglm",1,1458
"dgp",5,1459
"dia",1,1460
"diabet",2,1461
"diag",1,1462
"diagno",1,1463
"diagnos",9,1464
"diagnosi",26,1465
"diagnost",30,1466
"diagnóstico",1,1467
"diagon",2,1468
"diagram",6,1469
"dialogu",1,1470
"diamet",6,1471
"diana",1,1472
"diarrhea",3,1473
"dic",4,1474
"dice",2,1475
"dichotom",2,1476
"dichotomi",1,1477
"dict",1,1478
"diction",2,1479
"didact",2,1480
"didn",2,1481
"die",1,1482
"dient",1,1483
"diet",20,1484
"dietari",1,1485
"dif",6,1486
"differ",293,1487
"differenti",37,1488
"difficult",13,1489
"difficulti",26,1490
"diffus",5,1491
"difr",1,1492
"digest",4,1493
"digit",15,1494
"dilemma",1,1495
"dimen",1,1496
"dimens",23,1497
"dimension",48,1498
"dimensionless",2,1499
"diminish",2,1500
"dinat",1,1501
"diniz",5,1502
"dirac",1,1503
"direct",18,1504
"directli",16,1505
"dirichlet",14,1506
"disabl",7,1507
"disadvan",1,1508
"disadvantag",5,1509
"disagr",1,1510
"disast",2,1511
"discard",1,1512
"discharg",17,1513
"disclos",2,1514
"disclosur",4,1515
"discomfort",1,1516
"discontinu",1,1517
"discours",1,1518
"discov",4,1519
"discrep",2,1520
"discret",43,1521
"discrimin",21,1522
"discriminat",1,1523
"discriminatori",2,1524
"discuss",42,1525
"dise",1,1526
"diseas",101,1527
"diseasesimrd",1,1528
"disequilibrium",1,1529
"disjunct",1,1530
